<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Space Venture</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">L’aventure spatiale</div>;ANGLAIS::niveau::B2 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a launch</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un lancement</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a launcher</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un lanceur</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a launch pad</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une rampe/ une aire de lancement</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the countdown</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le compte à rebours</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a blast off</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une mise à feu</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a lift-off, a take off</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un décollage</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to lift</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">soulever</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a space flight</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un vol spatial</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">space sickness</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">mal de l’espace</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">weightlessness</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">l’apesanteur</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
